Total researchers: 39
Distribution:
Quality,Count
Enseignant-Chercheur,12
Chercheur,0
Doctorant,23
Autre,0

Top researchers:
Researcher,Citations
BENATCHBA Karima,9
BALLA Amar,6
BENBOUDJEMA Dalila,5
BESSEDIK Malika,5

Diplomas:
Diploma,Count
Licence,0
Master,14
Doctorat,14
Ingéniorat,10
Diplôme dÉtudes Supérieures,0
Diplôme de Formation Approfondie,0
Diplôme dÉtudes Approfondies,0
Autre,0
